2,26,0
2,27,1
2,41,1
3,35,1
4,31,0
4,32,0
4,33,1
4,34,0
4,35,0
4,42,0
5,31,1
5,32,0
5,33,0
5,34,1
5,35,0
5,36,1
5,37,1
5,42,0
6,35,0
6,39,1
6,42,0
7,36,0
8,36,1
8,37,0
8,38,0
9,25,0
9,38,0
10,25,0
10,38,0
11,21,0
11,25,1
11,38,1
11,44,0
11,47,0
11,50,0
11,51,1
11,52,1
11,53,1
11,54,0
11,55,0
12,38,0
12,42,1
13,38,1
13,39,0
13,57,1
14,21,1
14,22,1
14,27,1
14,39,0
14,40,0
14,57,1
15,22,0
15,23,1
15,24,0
15,25,1
15,26,0
15,27,0
15,40,0
15,42,0
15,43,1
15,44,0
15,45,0
15,57,1
16,28,0
16,29,0
16,30,1
16,31,1
16,32,0
16,33,1
16,34,0
16,35,0
16,40,1
16,42,0
16,44,0
16,45,1
16,54,1
16,55,1
16,56,1
16,57,1
17,35,0
17,40,0
17,42,0
17,54,1
18,35,1
18,40,1
18,42,1
18,54,0
19,35,1
19,40,0
19,42,0
19,52,1
19,53,0
19,54,0
20,33,1
20,34,0
20,35,0
20,40,0
20,42,0
20,43,1
20,52,0
21,40,0
21,43,0
21,52,0
22,43,0
22,52,1
23,33,0
23,42,0
23,43,1
23,44,0
23,45,1
23,52,0
24,34,0
24,35,0
24,45,0
24,52,0
25,35,0
25,45,1
25,49,1
25,50,0
25,51,1
25,52,0
26,35,1
26,41,0
26,42,0
26,43,1
26,44,0
26,45,1
26,49,0
27,35,1
27,41,1
27,45,0
27,49,1
27,50,0
28,35,1
28,41,1
28,45,1
28,50,0
29,34,1
29,35,1
29,36,0
29,37,1
29,41,1
29,50,1
30,34,1
30,41,0
30,50,0
31,34,0
31,41,0
31,50,0
32,34,0
32,47,1
32,48,0
32,49,1
32,50,0
33,34,0
33,35,0
33,36,1
33,47,0
34,36,0
34,47,1
35,36,1
35,42,1
35,43,1
35,47,0
36,36,0
36,37,0
36,38,1
36,39,0
36,40,1
36,41,0
36,42,0
