n_nodes,filename,mst_cost,mst_time_s,christofides_cost,christofides_time_s,total_time_s
20,1371.59375,486.8737590732933,0.000516,470.8058872237685,0.000443125,0.0009593125
21,1603.2571428571428,507.0724762348246,0.0005584571428571428,506.5222648025322,0.0004943428571428572,0.0010529142857142858
22,1106.5277777777778,503.05810494825903,0.0006164444444444444,497.86752230300186,0.0005478611111111112,0.0011644722222222221
23,1637.2702702702702,522.5461119458505,0.0006641351351351351,507.8962844774817,0.0006065135135135135,0.0012706216216216216
24,1361.8709677419354,525.1260154483041,0.0007213225806451612,520.1647426386453,0.0006789354838709677,0.0014003870967741936
25,1620.6666666666667,532.6564046101528,0.0007793333333333334,534.2080589705204,0.0007486666666666667,0.0015281666666666666
26,1392.952380952381,551.439828725207,0.0008522142857142857,567.3631674187166,0.0008341190476190476,0.0016865238095238094
27,1321.9444444444443,559.5647726542443,0.0009161666666666666,547.6316124843175,0.0009272222222222222,0.0018434444444444446
28,1252.7435897435898,572.5650261749513,0.0009820512820512821,592.1890443333126,0.0010129230769230768,0.001995153846153846
29,1493.5833333333333,588.0550996850347,0.0010522222222222224,569.1900244307722,0.0011135555555555556,0.0021658055555555554
30,1590.0454545454545,589.8314033692274,0.0011235,608.7649631486638,0.0012246818181818183,0.0023485
31,1370.9444444444443,616.1264409276162,0.0011965555555555557,598.6729016090989,0.0013439722222222223,0.0025407222222222224
32,1347.9705882352941,614.3500860258346,0.001284264705882353,612.5481143385033,0.001499235294117647,0.002783558823529412
33,1297.4137931034484,625.0852446391344,0.0013694137931034482,637.3072155353066,0.0015948620689655172,0.0029644827586206898
34,1392.6666666666667,641.8117338719878,0.0014511111111111111,650.5112510243924,0.0017220555555555557,0.0031732500000000003
35,1438.9032258064517,634.594355902681,0.001535741935483871,642.568778802408,0.0018619354838709677,0.0033977096774193546
36,1524.6,643.6202924609051,0.0015999142857142856,663.3539791862603,0.0019750285714285713,0.003575028571428571
37,926.6764705882352,649.2152925308972,0.0017594411764705882,659.2769398582801,0.0021860882352941176,0.003945558823529411
38,1311.1785714285713,653.1572448617682,0.0018046785714285714,677.901123657254,0.002307035714285714,0.004111892857142857
39,1327.375,667.0003270748886,0.001923875,685.7191017362826,0.00249728125,0.00442140625
40,1439.9,687.9137110180575,0.0020000666666666667,726.8743376079715,0.0026311,0.0046313000000000005
41,1348.111111111111,693.1821536772512,0.0020985333333333332,708.4355873857244,0.002822711111111111,0.004921311111111111
42,1444.3125,709.4026222432425,0.00219653125,722.4438001206469,0.003,0.00519671875
43,1469.25,702.6070265428763,0.0023114423076923078,723.4435746831176,0.0032258269230769233,0.0055373269230769235
44,1414.9268292682927,718.0776746743189,0.0024376341463414634,719.7166249915382,0.003418073170731707,0.00585590243902439
45,1270.5263157894738,719.5155720939184,0.002542578947368421,753.2960429277251,0.003672157894736842,0.006214842105263158
46,1416.8108108108108,740.5983108579126,0.0026446486486486486,770.3337840543061,0.0038812432432432436,0.0065260000000000006
47,1190.388888888889,727.1022208547066,0.002793,735.86833312406,0.004157416666666667,0.006950694444444443
48,1443.857142857143,763.1184685814038,0.0028793214285714286,775.9169927571808,0.0043442142857142855,0.007223642857142857
49,1287.5882352941176,779.5431977491301,0.0030128529411764704,776.3843425305583,0.004651970588235294,0.007664911764705882
50,1283.148148148148,742.2807783626793,0.003142925925925926,783.3407309544244,0.004880481481481481,0.008023518518518518
51,1405.7837837837837,771.4681780844944,0.003264702702702703,801.0498969423928,0.005218864864864865,0.00848372972972973
52,1208.0,775.1140950367901,0.003417875,802.0090638051288,0.005476275,0.008894325
53,1392.7241379310344,783.5242996901394,0.003548586206896552,814.0821261960004,0.005760793103448275,0.009309448275862069
54,1353.3703703703704,793.4092751679142,0.003657185185185185,842.5093417920356,0.006071851851851852,0.009729296296296297
55,1303.2,786.6006803461139,0.0038100857142857143,812.3791923520353,0.006522657142857143,0.010333057142857142
56,1318.046511627907,798.6556707577995,0.003960976744186047,837.3288103005758,0.0067399534883720935,0.010701046511627907
57,1413.0,801.4936479923957,0.0040543666666666665,835.8759259055086,0.007103033333333333,0.011157599999999998
58,1311.7111111111112,808.0802902401357,0.004269266666666667,846.8595154694898,0.007442577777777778,0.011712044444444444
59,1470.1935483870968,820.3554534327407,0.004411967741935484,846.5445504604539,0.007866612903225807,0.012278709677419354
60,1364.3870967741937,819.213010789889,0.004521032258064516,833.6972636223132,0.008141935483870969,0.012663129032258065
61,1216.3529411764705,832.2247008343614,0.004684029411764706,857.4833690122815,0.008586117647058824,0.013270176470588235
62,1202.64,829.0363677342634,0.00486312,865.7250157371112,0.00898088,0.013844
63,1355.5,860.9544490275628,0.004982794117647059,891.8154766154631,0.009419235294117647,0.014402058823529412
64,1620.060606060606,857.938069128087,0.00518069696969697,911.869425166776,0.009787333333333334,0.014968212121212122
65,1528.6,851.5480495853747,0.005311466666666667,879.1172214364889,0.0102257,0.015537366666666667
66,1511.6176470588234,874.2423493303315,0.005474882352941177,907.4343326582714,0.010755705882352942,0.016231
67,1451.6122448979593,879.7327265525425,0.0056357142857142856,920.0344996535239,0.011150204081632652,0.016786142857142857
68,1580.5454545454545,868.417160284073,0.005802575757575757,914.515639864357,0.011637545454545456,0.017440303030303028
69,1483.4,889.9238589699136,0.006005,954.9962540955602,0.0122744,0.018279555555555556
70,1329.675,880.2221672638359,0.0061714249999999995,933.8676499974988,0.01277145,0.018943124999999998
71,1462.892857142857,906.4052448044116,0.0063736071428571435,953.7502851578282,0.01321825,0.01959217857142857
